ward,ndvi,lst
Gatina,0.260368982,30.23434952
Kileleshwa,0.461979639,26.85004863
Kilimani,0.453564648,27.8365502
Kabiro,0.400810755,28.5813346
Kawangware,0.253114367,29.69520756
Mutu-Ini,0.511597525,24.71495008
Ngando,0.36489229,29.07562944
Riruta,0.325031489,28.61604744
Uthiru/Ruthimitu,0.510351732,25.83537572
Waithaka,0.466195909,26.44268874
Kayole Central,0.101316781,30.73122604
Kayole North,0.106739954,30.62890247
Kayole South,0.078837264,30.5938012
Komarock,0.167853515,30.62889968
Matopeni/Spring Valley,0.162627968,30.2075706
Embakasi,0.337061563,29.04924284
Lower Savannah,0.151877336,30.38730873
Mihango,0.312727672,29.2914117
Upper Savannah,0.193193149,30.24037894
Utawala,0.216212814,30.39656392
Dandora Area I,0.205202359,31.11944504
Dandora Area Ii,0.246282942,31.15940049
Dandora Area Iii,0.150837044,30.66193808
Dandora Area Iv,0.226400673,30.11139837
Kariobangi North,0.166868827,30.36370994
Imara Daima,0.237716793,28.28199627
Kwa Njenga,0.153522472,31.56685864
Kwa Reuben,0.230953852,30.81820678
Kware,0.204083642,31.39914174
Pipeline,0.179482231,30.90698898
Kariobangi South,0.218945403,30.01907381
Mowlem,0.226804642,30.51062124
Umoja I,0.160448865,30.22237201
Umoja Ii,0.16275147,30.25463866
Airbase,0.372879783,29.08031941
California,0.238471874,29.62412397
Eastleigh North,0.126890481,28.49405018
Eastleigh South,0.248671271,29.53530673
Pumwani,0.196738157,29.89919941
Clay City,0.310620925,29.29422574
Kasarani,0.32766939,28.94935375
Mwiki,0.364089994,28.83353343
Njiru,0.278977445,30.11125731
Ruai,0.345124995,28.70168649
Laini Saba,0.491761946,29.20619444
Lindi,0.093626206,29.56220101
Makina,0.298155547,28.73504954
Nyayo Highrise,0.347333634,29.00510111
Sarangombe,0.291202032,27.83212617
Woodley/Kenyatta Golf Course,0.385490753,27.98648989
Karen,0.614740804,24.53545031
Mugumu-Ini,0.476990412,26.2390048
Nairobi West,0.326336187,28.37032898
South C,0.265352236,29.0500909
Harambee,0.265444996,30.09227939
Makongeni,0.267952225,30.76402116
Maringo/Hamza,0.253596466,30.2765261
Viwandani,0.237869539,31.0908931
Hospital,0.445029865,27.48036544
Huruma,0.125762795,28.93245136
Kiamaiko,0.140680439,29.77732705
Mabatini,0.12438696,28.47935718
Mlango Kubwa,0.350862609,27.46780491
Githurai,0.215931646,28.45611362
Kahawa,0.362166781,28.05220711
Kahawa West,0.449471351,27.8206156
Roysambu,0.506024791,26.24095452
Zimmerman,0.517491571,26.34732977
Baba Dogo,0.322307402,28.98917525
Korogocho,0.188732495,31.12996885
Lucky Summer,0.334275073,29.70757748
Mathare North,0.264038522,28.59438217
Utalii,0.365242144,27.4562432
Landimawe,0.219556047,30.62590238
Nairobi Central,0.201132275,28.52858077
Nairobi South,0.237736659,30.99725039
Ngara,0.288625903,28.48348066
Pangani,0.261405667,28.2112251
Ziwani/Kariokor,0.293414874,29.41366852
Kangemi,0.26284758,28.40479968
Karura,0.603585967,25.15360713
Kitisuru,0.627777435,24.88354
Mountain View,0.354168348,27.71762508
Parklands/Highridge,0.40970943,26.42757981
